SITE$,FSVLAFTER,TOTAFTER,MASSaft,RCM,CSIZE
OR,64,111,4.106,0.323209937,3
OR,64,118,3.92,0.379515306,3
OR,64,123,4.5432,0.350743969,3
OR,64,127,4.6565,0.393600344,3
OR,64,135,4.7878,0.344396174,3
OR,64,122,4.1966,0.370514226,3
OR,64,121,4.9514,0.294886295,3
OR,64,134,5.6178,0.258054755,3
OR,64,131,4.8862,0.303712496,3
OR,64,120,5.7445,0.28045957,3
OR,64,134,5.1164,0.306973653,3
OR,64,126,4.7503,0.339515399,3
OR,64,132,4.8528,0.298940818,3
OR,64,143,4.8051,0.275831929,3
OR,64,120,5.0586,0.256928795,3
OR,64,105,4.9833,0.277647342,3
OR,64,132,5.219,0.261735965,3
OR,64,115,5.03525,0.271783923,3
OR,64,125,4.193,0.407822561,3
OR,64,146,4.51,0.341906874,3
OR,64,122,4.91,0.315641548,3
OR,64,110,5.0713,0.327628024,3
OR,64,148,5.1608,0.318322741,3
OR,64,129,5.0896,0.326489312,3
OR,64,130,5.3055,0.263311658,3
OR,64,137,5.28,0.312064394,3
OR,64,138,5.4136,0.275362051,3
OR,64,127,5.9303,0.245046625,3
OR,64,110,5.4746,0.286413619,3
OR,64,120,6.0724,0.268460576,3
OR,64,145,4.3262,0.413827377,4
OR,64,126,5.3639,0.372993531,4
OR,64,126,,,
OR,64,133,4.635,,
OR,64,129,,,
OR,64,99,6.3765,,
OR,64,111,6.0209,,
OR,64,78,5.2501,,
OR,64,133,7.029,,
CP,65,146,5.1126,0.193932637,2
CP,65,137,4.6052,0.238339269,2
CP,65,142,5.934,,2
CP,65,150,5.8741,0.121210058,2
CP,65,148,6.0296,0.186247844,2
OR,65,114,4.3881,0.135753515,1
OR,65,110,5.9388,0.12872971,1
OR,65,140,6.0305,0.086593151,1
OR,65,140,5.3385,0.103137585,1
OR,65,141,4.4851,0.110120176,1
OR,65,124,5.8393,0.099429726,1
OR,65,139,6.3269,0.087799712,1
OR,65,138,5.9602,0.093973357,1
OR,65,115,,,1
OR,65,116,4.4313,0.227382484,2
OR,65,114,5.6346,0.196375963,2
OR,65,90,5.029,0.190693975,2
OR,65,123,4.5481,0.211341,2
OR,65,139,4.8054,0.229117243,2
OR,65,122,5.1162,0.185098315,2
OR,65,146,5.0799,0.209236402,2
OR,65,148,,,2
OR,65,151,4.9077,0.236893046,2
OR,65,104,4.8227,0.227880648,2
OR,65,90,5.463,0.220043932,2
OR,65,108,3.919,0.314723144,2
OR,65,145,4.1028,0.265842839,2
OR,65,120,4.53,0.220264901,2
OR,65,116,4.588,0.261508282,2
OR,65,153,5.2369,0.195019955,2
OR,65,121,5.5889,0.223782855,2
OR,65,140,5.082,0.195533255,2
OR,65,127,4.4107,0.206384474,2
OR,65,115,4.506,0.270883267,2
OR,65,118,4.3048,0.242566437,2
OR,65,151,4.9199,0.188215208,2
OR,65,140,4.5387,0.260184634,2
OR,65,106,4.3899,0.237681952,2
OR,65,114,4.224,0.310416667,2
OR,65,148,3.7799,0.307256806,2
OR,65,137,4.266,0.259563994,2
OR,65,143,4.253,0.218434047,2
OR,65,114,5.1238,0.227175143,2
OR,65,139,5.4998,0.182424815,2
OR,65,117,5.1999,0.191715225,2
OR,65,142,5.1138,0.204114357,2
OR,65,143,4.8462,0.227023235,2
OR,65,89,4.3011,0.267652461,2
OR,65,111,4.8215,0.236917972,2
OR,65,135,,,2
OR,65,148,5.0173,0.212704044,2
OR,65,146,5.2128,0.227881369,2
OR,65,115,4.6561,0.220055411,2
OR,65,118,4.2419,0.290930951,2
OR,65,138,4.9359,0.247735975,2
OR,65,135,4.7075,0.235135422,2
OR,65,154,5.378,0.235124582,2
OR,65,141,4.5,0.267933333,2
OR,65,116,5.835,0.210059983,2
OR,65,130,5.5828,0.180482912,2
OR,65,136,5.4915,0.199508331,2
OR,65,108,5.1564,0.229055155,2
OR,65,133,4.9027,0.209986334,2
OR,65,106,5.2402,0.211976642,2
OR,65,130,5.4482,0.170019456,2
OR,65,134,5.1739,0.22155434,2
OR,65,117,4.9072,0.223365667,2
OR,65,120,5.4858,0.216467972,2
OR,65,115,4.7234,0.198882161,2
OR,65,124,4.924,0.233326564,2
OR,65,125,5.0632,0.231948175,2
OR,65,139,,,2
OR,65,117,5.8358,0.222060386,2
OR,65,78,5.5667,0.220902869,2
OR,65,128,6.682,0.185842562,2
OR,65,124,5.7112,0.236535229,2
OR,65,105,5.347,0.186927249,2
OR,65,143,6.2488,0.175537703,2
OR,65,121,5.5646,0.202727959,2
OR,65,119,5.1525,0.219485687,2
OR,65,149,5.116,0.112548866,2
OR,65,150,5.383,0.225134683,2
OR,65,100,5.549,0.1897459,2
OR,65,114,5.02,0.202948207,2
OR,65,119,4.4419,0.252301943,2
OR,65,140,6.203,0.183749798,2
OR,65,132,5.8165,0.189942405,2
OR,65,140,5.852,0.218814081,2
OR,65,154,5.8836,0.197804066,2
OR,65,112,4.4546,0.249427558,2
OR,65,128,5.2538,0.224637405,2
OR,65,126,7.2828,0.145479761,2
OR,65,137,6.0178,0.201518827,2
OR,65,115,5.5763,0.201388017,2
OR,65,115,4.6463,0.24131029,2
OR,65,121,5.7156,0.208866961,2
OR,65,115,6.0114,0.171218019,2
OR,65,144,5.9175,0.183557245,2
OR,65,121,5.5476,0.192623837,2
OR,65,149,6.0906,0.180228549,2
OR,65,154,6.8841,0.122020308,2
OR,65,128,4.9482,,2
OR,65,122,4.588,0.343722755,3
OR,65,129,5.5569,0.249707571,3
OR,65,151,5.3068,0.269880154,3
OR,65,149,4.3608,0.380893414,3
OR,65,96,4.5617,0.329131683,3
OR,65,141,4.6908,0.367570564,3
OR,65,112,4.286,0.298810079,3
OR,65,146,4.5032,0.377753597,3
OR,65,122,4.5201,0.325457401,3
OR,65,140,4.3218,0.36639826,3
OR,65,131,4.5589,0.377174318,3
OR,65,115,4.6408,0.374719876,3
OR,65,125,4.1688,0.349237191,3
OR,65,130,4.1467,0.374514674,3
OR,65,118,3.9688,0.448851038,3
OR,65,144,5.379,0.289496189,3
OR,65,142,5.053,0.324836731,3
OR,65,115,4.5514,0.383244716,3
OR,65,143,4.0808,0.410238189,3
OR,65,132,5.2175,0.303382846,3
OR,65,112,4.757,0.273491696,3
OR,65,118,4.9256,0.358900439,3
OR,65,145,5.1667,0.262991852,3
OR,65,140,4.3647,0.366416936,3
OR,65,127,4.76,0.320210084,3
OR,65,108,4.8921,0.286584493,3
OR,65,120,5.8556,0.262944873,3
OR,65,87,5.7922,0.27369566,3
OR,65,139,5.697,0.288239424,3
OR,65,126,5.1915,0.2935953,3
OR,65,111,4.995,0.301121121,3
OR,65,122,5.6285,0.26630541,3
OR,65,106,5.3843,0.276191891,3
OR,65,123,5.8516,0.262150523,3
OR,65,155,5.0724,0.285841022,3
OR,65,118,5.3292,0.326690685,3
OR,65,141,5.1224,0.331817117,3
OR,65,121,4.796,0.315325271,3
OR,65,142,3.5948,0.278652498,3
OR,65,102,,,3
OR,65,108,4.832,0.339962748,3
OR,65,132,5.3329,0.309137617,3
OR,65,146,6.4069,0.273283491,3
OR,65,139,5.9364,0.249241965,3
OR,65,123,5.477,0.282088735,3
OR,65,116,4.8701,0.329931624,3
OR,65,140,5.621,0.269738481,3
OR,65,132,4.8877,0.300632199,3
OR,65,119,5.7926,0.280720229,3
OR,65,143,4.95,0.303494949,3
OR,65,127,5.3184,0.304696901,3
OR,65,79,5.163,0.358221964,3
OR,65,112,5.4065,0.273652085,3
OR,65,132,5.1223,0.291041134,3
OR,65,134,4.8793,0.304551882,3
OR,65,131,5.1336,0.238994078,3
OR,65,111,5.229,0.30162555,3
OR,65,126,5.9366,0.267779537,3
OR,65,117,6.1188,0.262616853,3
OR,65,146,5.73,0.238045375,3
OR,65,126,4.3277,0.458904268,4
OR,65,138,4.8336,0.446996028,4
OR,65,144,5.94,0.345016835,4
OR,65,132,5.1082,0.375161505,4
OR,65,121,5.8316,0.385571713,4
OR,65,107,4.8736,0.413944517,4
OR,65,118,5.2889,0.444288983,4
OR,65,137,4.7337,0.421678602,4
OR,65,135,,,
OR,65,138,,,
OR,65,107,5.2569,,
OR,65,102,7.2795,,
OR,65,145,4.7098,,
OR,65.5,142,4.8999,0.219045287,2
OR,65.5,110,6.2063,0.252727068,3
CP,66,148,6.476,0.094193947,1
CP,66,147,4.5011,0.226988958,2
CP,66,74,4.334,0.221642824,2
CP,66,123,5.0548,0.204993274,2
CP,66,126,6.013,0.16692167,2
CP,66,152,5.3069,0.30432079,3
CP,66,103,,,
OR,66,80,4.0008,0.139447111,1
OR,66,152,4.7131,0.127177442,1
OR,66,120,4.8058,0.122539432,1
OR,66,154,4.6091,0.105139832,1
OR,66,114,5.435,0.106402944,1
OR,66,124,5.6854,0.10426707,1
OR,66,160,6.5591,0.097101737,1
OR,66,139,5.253,0.100837617,1
OR,66,147,5.8,0.093224138,1
OR,66,138,5.817,0.10416022,1
OR,66,134,5.124,0.110245902,1
OR,66,148,4.9905,0.156898106,1
OR,66,143,6.8852,0.088653924,1
OR,66,147,6.1431,0.099510019,1
OR,66,111,4.3125,0.230771014,2
OR,66,139,5.7572,0.191134579,2
OR,66,152,4.3893,0.25038161,2
OR,66,138,5.3453,0.202046658,2
OR,66,143,4.757,0.221736388,2
OR,66,126,5.108,0.220810493,2
OR,66,154,6.2258,0.180988789,2
OR,66,115,4.5333,0.206295635,2
OR,66,121,3.7053,0.304860605,2
OR,66,142,4.8,0.225104167,2
OR,66,152,4.06,0.278029557,2
OR,66,126,4.8,0.2196875,2
OR,66,138,4.2068,0.267852049,2
OR,66,136,4.55,0.265868132,2
OR,66,124,4.3086,0.235296848,2
OR,66,144,4.6946,0.191688323,2
OR,66,123,4.7569,0.23338729,2
OR,66,136,5.3413,0.225413289,2
OR,66,134,4.86,0.212469136,2
OR,66,139,5.3789,0.200449906,2
OR,66,120,4.7769,0.226925412,2
OR,66,128,6.0618,0.169108186,2
OR,66,137,5.7278,0.200984671,2
OR,66,131,5.52,0.201268116,2
OR,66,146,5.8862,0.201148449,2
OR,66,144,5.175,0.188173913,2
OR,66,81,5.5698,0.202538691,2
OR,66,141,5.8267,0.146498018,2
OR,66,129,5.8052,0.21528974,2
OR,66,129,4.5895,0.21882558,2
OR,66,128,4.823,0.261600663,2
OR,66,154,5.0448,0.239414843,2
OR,66,138,5.692,0.187280394,2
OR,66,106,4.7309,0.247394787,2
OR,66,135,5.4881,0.222864015,2
OR,66,139,5.6351,0.177796312,2
OR,66,118,5.6832,0.182784347,2
OR,66,109,5.0203,0.194828994,2
OR,66,122,6.226,0.157452618,2
OR,66,122,4.8561,0.217684974,2
OR,66,118,5.53,0.227884268,2
OR,66,128,5.061,0.217051966,2
OR,66,141,5.1481,0.208717779,2
OR,66,99,4.5371,0.255317273,2
OR,66,131,5.91,0.232402707,2
OR,66,137,5.4491,0.199592593,2
OR,66,147,5.9593,0.212172571,2
OR,66,140,6.264,0.212164751,2
OR,66,115,5.4014,0.197615433,2
OR,66,128,5.5963,0.182495577,2
OR,66,135,6.0649,0.199360253,2
OR,66,105,6.2176,0.147822311,2
OR,66,120,6.1087,0.173179236,2
OR,66,151,5.4674,0.302483813,3
OR,66,145,5.4381,0.300251926,3
OR,66,143,4.8077,0.341265054,3
OR,66,150,5.0555,0.245277421,3
OR,66,154,5.6726,0.28861545,3
OR,66,128,4.3688,0.329358176,3
OR,66,154,4.3853,0.357398582,3
OR,66,149,4.7068,0.367234639,3
OR,66,154,4.4313,0.355990341,3
OR,66,147,4.4308,0.391532003,3
OR,66,138,4.79,0.363277662,3
OR,66,143,5.21,0.298771593,3
OR,66,137,5.1678,0.300069662,3
OR,66,120,4.63,0.287019438,3
OR,66,145,5.3168,0.249793109,3
OR,66,126,4.7433,0.369089031,3
OR,66,132,4.6886,0.350125837,3
OR,66,113,4.608,0.340581597,3
OR,66,140,5.0084,0.330744349,3
OR,66,107,4.4951,0.350959934,3
OR,66,142,5.0162,0.318368486,3
OR,66,122,4.9603,0.300485858,3
OR,66,138,4.6398,0.338678391,3
OR,66,140,4.6213,0.38463203,3
OR,66,121,5.02,0.372390438,3
OR,66,138,4.3714,0.388250904,3
OR,66,143,5.3499,0.35905344,3
OR,66,144,5.43,0.318839779,3
OR,66,123,,,3
OR,66,115,4.8495,0.317352304,3
OR,66,139,4.3469,0.355724769,3
OR,66,137,5.6646,0.299932917,3
OR,66,144,5.1564,0.307695291,3
OR,66,149,6.1818,0.315458281,3
OR,66,117,5.52,0.319148551,3
OR,66,132,5.6206,0.293847632,3
OR,66,121,4.8292,0.278576162,3
OR,66,136,5.25,0.282971429,3
OR,66,144,6.3512,0.243827938,3
OR,66,120,5.0175,0.352904833,3
OR,66,135,6.2882,0.213479215,3
OR,66,135,5.4315,0.282205652,3
OR,66,140,4.8386,0.363596908,3
OR,66,120,5.5236,0.311264393,3
OR,66,116,5.3508,0.307729685,3
OR,66,153,4.6433,0.37447505,3
OR,66,114,5.933,0.279521321,3
OR,66,142,5.9616,0.237889157,3
OR,66,128,5.775,0.30817316,3
OR,66,134,5.53,0.286003617,3
OR,66,126,6,0.306016667,3
OR,66,121,5.1143,0.338814696,3
OR,66,105,6.1688,0.246838931,3
OR,66,100,4.1926,0.31925297,3
OR,66,135,5.9439,0.287117886,3
OR,66,126,5.8273,0.280249858,3
OR,66,132,5.329,0.249540251,3
OR,66,148,6.0564,0.242619378,3
OR,66,131,6.0003,0.279169375,3
OR,66,124,5.2678,0.289361783,3
OR,66,147,5.2619,0.382751478,4
OR,66,136,4.8869,0.491743232,4
OR,66,144,5.0901,0.38401996,4
OR,66,152,4.3779,0.460654652,4
OR,66,126,5.4343,0.338387649,4
OR,66,145,5.426,0.383376336,4
OR,66,121,5.3131,0.305885453,4
OR,66,140,5.922,0.345406957,4
OR,66,149,5.2634,0.45107725,4
OR,66,147,5.0011,0.385775129,4
OR,66,152,5.551,0.398216538,4
OR,66,148,5.61,0.367397504,4
OR,66,148,6.2542,0.310127594,4
OR,66,143,5.8945,0.337043006,4
OR,66,142,6.564,,
OR,66,119,,,
OR,66,127,,,
OR,66,138,4.84,,
CP,66.5,145,5.076,0.191804571,2
OR,66.5,146,6.2805,0.185224106,2
CP,67,137,5.3647,0.130557161,1
CP,67,157,6.3126,0.230475557,2
CP,67,124,5.5748,0.213245318,2
CP,67,155,5.8528,0.192677009,2
CP,67,157,5.5083,0.204945264,2
CP,67,153,4.9865,0.18684448,2
CP,67,150,5.9414,0.156562426,2
CP,67,95,5.8438,0.243728396,3
CP,67,152,5.3611,0.273246162,3
CP,67,150,5.83,0.28161235,3
CP,67,137,5.7378,0.24173028,3
CP,67,123,,,4
CP,67,152,,,
OR,67,93,5.4242,0.101821467,1
OR,67,132,4.7949,0.131389601,1
OR,67,134,5.6947,0.105378685,1
OR,67,134,6.0322,0.087961274,1
OR,67,141,5.7356,0.092370458,1
OR,67,132,6.8914,0.084133848,1
OR,67,108,6.0162,,1
OR,67,122,6.5253,,1
OR,67,87,3.9177,0.124664982,1
OR,67,126,6.2291,0.094363552,1
OR,67,137,6.2752,0.165620219,2
OR,67,142,5.123,0.218387663,2
OR,67,126,5.58,0.236290323,2
OR,67,135,5.6048,0.210908507,2
OR,67,151,5.2118,0.242641698,2
OR,67,122,4.0587,0.290191441,2
OR,67,135,3.6852,0.325735374,2
OR,67,150,4.8788,0.238747233,2
OR,67,152,5.0277,0.21512819,2
OR,67,124,5.1,0.198176471,2
OR,67,135,5.1545,0.205354545,2
OR,67,118,5.5987,0.205422687,2
OR,67,110,5.772,0.166805267,2
OR,67,127,5.5548,0.188935695,2
OR,67,103,5.5403,0.192594264,2
OR,67,114,4.6869,0.267020845,2
OR,67,124,5.8416,0.190598466,2
OR,67,138,4.6342,0.252470761,2
OR,67,131,5.745,0.213489991,2
OR,67,133,5.2636,0.22988069,2
OR,67,118,4.6337,0.271316658,2
OR,67,122,5.2738,0.248473586,2
OR,67,138,5.5969,0.227965481,2
OR,67,140,5.6458,0.231534946,2
OR,67,127,6.9161,0.15677911,2
OR,67,135,5.6838,0.177011858,2
OR,67,140,5.835,0.189323051,2
OR,67,143,5.1536,0.212511642,2
OR,67,125,3.748,0.266462113,2
OR,67,142,6.15,0.179658537,2
OR,67,116,6.2191,0.223971314,2
OR,67,129,6.2999,0.193177669,2
OR,67,147,6.5659,0.185701884,2
OR,67,138,4.5111,,2
OR,67,142,7.1203,0.149600438,2
OR,67,145,6.6872,0.166183156,2
OR,67,140,5.9735,0.234418683,2
OR,67,145,5.7258,0.184987251,2
OR,67,158,6.2281,0.17474029,2
OR,67,113,5.141,0.247870064,2
OR,67,132,5.9915,0.208678962,2
OR,67,100,5.798,0.187443946,2
OR,67,,5.3942,0.27373846,3
OR,67,146,6.0141,0.247551587,3
OR,67,142,5.27,0.335313093,3
OR,67,127,4.9098,0.324208725,3
OR,67,144,5.1838,0.286006405,3
OR,67,140,5.003,0.28986608,3
OR,67,144,5.7393,0.280347778,3
OR,67,156,4.4555,0.365817529,3
OR,67,127,4.846,0.346553859,3
OR,67,138,4.367,0.336088848,3
OR,67,158,5.518,0.319282349,3
OR,67,160,4.932,0.333049473,3
OR,67,156,5.8086,0.279103398,3
OR,67,128,4.36,0.354541284,3
OR,67,128,4.6625,0.324182306,3
OR,67,136,5.0111,0.367404362,3
OR,67,110,5.4999,0.282332406,3
OR,67,144,5.4376,0.349051052,3
OR,67,129,4.674,0.299893025,3
OR,67,120,4.6035,0.378320843,3
OR,67,121,5.13,0.315906433,3
OR,67,126,4.264,0.381777674,3
OR,67,114,4.5425,0.358238855,3
OR,67,130,5.2177,0.342526401,3
OR,67,143,4.5367,0.312561994,3
OR,67,120,4.9263,0.343767127,3
OR,67,138,5.7603,0.325278197,3
OR,67,126,5.5181,0.274587267,3
OR,67,127,5.127,0.285937195,3
OR,67,147,5.8975,0.255803306,3
OR,67,148,5.2219,0.290526437,3
OR,67,119,5.1552,0.332867784,3
OR,67,105,5.108,0.301644479,3
OR,67,147,5.3683,0.293388969,3
OR,67,112,6.3385,0.252110121,3
OR,67,141,6.8429,0.230136346,3
OR,67,117,6.0917,0.262143572,3
OR,67,136,5.2715,0.239817889,3
OR,67,140,6.1903,0.301455503,3
OR,67,112,6.0721,0.271816999,3
OR,67,115,5.3754,0.354262008,3
OR,67,142,5.4524,0.275988555,3
OR,67,143,6.092,0.298867367,3
OR,67,132,6.27,0.25492823,3
OR,67,142,5.3084,0.279048301,3
OR,67,134,5.4193,0.328843209,3
OR,67,140,5.8962,0.293918117,3
OR,67,114,5.9402,0.283458469,3
OR,67,117,6.0295,0.280388092,3
OR,67,115,5.9154,0.289312642,3
OR,67,140,5.8258,0.305245632,3
OR,67,122,5.39,0.319332096,3
OR,67,140,6.19,0.23085622,3
OR,67,136,6.0911,0.283200079,3
OR,67,127,5.2081,0.328161902,3
OR,67,147,6.4515,0.265519647,3
OR,67,140,6.84,0.235833333,3
OR,67,148,6.2471,0.257143314,3
OR,67,140,6.7077,0.261669425,3
OR,67,110,6.2496,0.251152074,3
OR,67,122,5.7879,0.332987785,3
OR,67,150,3.9029,0.413769249,4
OR,67,132,5.0521,0.396112508,4
OR,67,144,5.4631,0.373560799,4
OR,67,148,3.8352,0.514054026,4
OR,67,153,5.1629,0.425749095,4
OR,67,102,6.3102,0.307882476,4
OR,67,137,5.9737,0.322463465,4
OR,67,122,5.6501,0.342613405,4
OR,67,153,5.7687,,
OR,67,116,7.0299,,
CP,68,126,6.0063,0.103075104,1
CP,68,97,4.9896,0.123356582,1
CP,68,153,4.4698,0.255716139,2
CP,68,130,5.549,0.216165075,2
CP,68,159,5.1374,0.173161521,2
CP,68,146,6.1268,0.163788601,2
CP,68,151,6.1379,0.175825608,2
CP,68,153,6.1152,0.212928441,2
CP,68,139,5.5331,0.177188195,2
CP,68,148,6.7975,0.167767562,2
CP,68,154,5.0736,0.225875118,2
CP,68,142,5.2303,0.234097471,2
CP,68,155,6.1992,0.180603949,2
CP,68,160,5.728,0.300087291,3
CP,68,153,5.6824,0.307106152,3
CP,68,157,5.9735,0.313049301,3
CP,68,148,5.67,0.278677249,3
CP,68,150,5.9116,0.279467488,3
CP,68,152,6.0323,0.277406628,3
CP,68,121,5.6985,0.262525226,3
CP,68,139,6.1689,0.242020457,3
CP,68,153,7.0198,0.244408673,3
CP,68,142,6.4919,0.233152082,3
CP,68,151,6.5992,0.231391684,3
CP,68,138,6.3905,0.250637665,3
CP,68,144,9.1613,0.275179287,4
CP,68,148,,,
OR,68,143,5.8,0.080431034,1
OR,68,129,5.23,0.119694073,1
OR,68,124,4.712,0.083191851,1
OR,68,137,5.9447,0.090954968,1
OR,68,128,,,1
OR,68,144,6.6639,0.09296358,1
OR,68,130,6.4255,0.13813711,2
OR,68,121,5.4538,0.203527815,2
OR,68,152,5.2423,0.177040612,2
OR,68,136,4.3206,0.247141601,2
OR,68,128,4.3423,0.223568155,2
OR,68,146,4.2358,0.285731149,2
OR,68,121,5.0801,0.226393181,2
OR,68,159,4.9368,0.244551126,2
OR,68,108,5.0828,0.202585189,2
OR,68,151,5.1,0.231176471,2
OR,68,155,5.8115,0.205093349,2
OR,68,139,6.085,0.193426459,2
OR,68,111,6.1916,0.184120421,2
OR,68,115,5.6236,0.209367665,2
OR,68,120,5.8971,0.167539977,2
OR,68,117,5.3069,0.210970623,2
OR,68,114,5.8216,0.208997526,2
OR,68,152,6.1264,0.205144946,2
OR,68,127,4.88,0.262622951,2
OR,68,120,5.5835,0.18350497,2
OR,68,132,6.1968,0.177704622,2
OR,68,126,6.0537,0.165749872,2
OR,68,152,5.1141,0.224438318,2
OR,68,135,6.6373,0.235065463,2
OR,68,123,5.7782,0.206240698,2
OR,68,131,6.5057,0.176537498,2
OR,68,133,5.2902,0.312313334,3
OR,68,159,5.992,0.268841789,3
OR,68,149,4.2522,0.368279949,3
OR,68,132,5.2169,0.290133988,3
OR,68,150,5.6154,0.255636286,3
OR,68,141,5.8214,0.260521524,3
OR,68,139,4.853,0.333072326,3
OR,68,142,4.5888,0.366304916,3
OR,68,82,4.3068,0.439467818,3
OR,68,110,4.4562,0.374691441,3
OR,68,162,3.6399,0.429544768,3
OR,68,137,4.4148,0.371477757,3
OR,68,158,4.7438,0.328723808,3
OR,68,140,4.6072,0.359328877,3
OR,68,147,4.64,0.357262931,3
OR,68,152,5.6552,0.307875937,3
OR,68,100,5.3458,0.299468742,3
OR,68,142,5.2328,0.291297202,3
OR,68,142,5.85,0.277948718,3
OR,68,160,4.9257,0.302109345,3
OR,68,118,5.1938,0.309734684,3
OR,68,133,4.9877,0.321350522,3
OR,68,139,4.8888,0.348122239,3
OR,68,128,5.5703,0.286735005,3
OR,68,132,5.1612,0.340037201,3
OR,68,144,5.4574,0.347289918,3
OR,68,156,6.6763,0.284154397,3
OR,68,119,5.3885,0.280374872,3
OR,68,141,5.2606,0.353875984,3
OR,68,127,5.5032,0.282453845,3
OR,68,100,4.72,0.317097458,3
OR,68,148,6.2519,0.235288472,3
OR,68,134,5.4971,0.301231558,3
OR,68,154,5.1535,0.271058504,3
OR,68,116,5.0558,0.364353811,3
OR,68,164,5.858,0.280846705,3
OR,68,120,5.0227,0.339697772,3
OR,68,148,6.8819,0.26497043,3
OR,68,127,6.5751,0.241988715,3
OR,68,155,4.8701,0.361984354,3
OR,68,105,5.6542,0.285734498,3
OR,68,133,6.3832,0.294288131,3
OR,68,139,5.8384,0.278706495,3
OR,68,117,5.6864,0.26976646,3
OR,68,147,5.52,0.316485507,3
OR,68,132,5.6323,0.287786517,3
OR,68,122,5.43,0.330699816,3
OR,68,144,5.7242,0.315904406,3
OR,68,145,5.277,0.31288611,3
OR,68,136,5.5216,0.312916546,3
OR,68,139,6.3528,0.258547412,3
OR,68,142,7.4294,0.221659892,3
OR,68,126,6.7312,,3
OR,68,129,7.1406,0.24275271,3
OR,68,132,5.4772,0.272000292,3
OR,68,124,6.7865,0.255993517,3
OR,68,145,5.4247,0.348572271,4
OR,68,140,4.495,0.436418242,4
OR,68,143,5.4378,0.366821141,4
OR,68,140,5.537,0.256619108,4
OR,68,132,4.6061,0.416252361,4
